"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"Job_Satisfaction","=~","js_q1","",0.738672435237489,0.0468466683106062,15.7678755368448,0,0.646854652553007,0.830490217921971,0.738672435237489,0.748008940981495,0.748008940981495
"Job_Satisfaction","=~","js_q2","",0.706535833953315,0.0427575535239285,16.524234333424,0,0.622732568979372,0.790339098927259,0.706535833953315,0.773056831989896,0.773056831989896
"Job_Satisfaction","=~","js_q3","",0.762680186265737,0.0422460735269008,18.0532798102548,0,0.679879403664781,0.845480968866694,0.762680186265737,0.820974919685985,0.820974919685985
"Job_Satisfaction","=~","js_q4","",0.760920584805948,0.0429798855461834,17.7041091463194,0,0.676681557075775,0.845159612536121,0.760920584805948,0.81033267845501,0.81033267845501
"Job_Satisfaction","=~","js_q5","",0.700903590703893,0.0418447441406,16.750098610923,0,0.618889399246024,0.782917782161763,0.700903590703893,0.78035631757822,0.78035631757822
"Burnout","=~","bo_q1","",0.863264427658693,0.0448290932411594,19.2567898488318,0,0.775401019446433,0.951127835870954,0.868140177921448,0.847215048347448,0.847215048347448
"Burnout","=~","bo_q2","",0.832728593688854,0.0440728816856984,18.8943532131023,0,0.74634733288999,0.919109854487718,0.837431876402,0.837005366496057,0.837005366496057
"Burnout","=~","bo_q3","",0.867354728743354,0.0450508547698264,19.2527918321381,0,0.77905667592175,0.955652781564958,0.87225358118193,0.847103432000349,0.847103432000349
"Burnout","=~","bo_q4","",0.841582432885189,0.044639628980458,18.8528097590957,0,0.754090367800261,0.929074497970117,0.846335722418268,0.835823167928253,0.835823167928253
"Burnout","=~","bo_q5","",0.786174119693546,0.0432793937948162,18.1650908379338,0,0.70134806658298,0.871000172804112,0.790614460970045,0.815882646081463,0.815882646081463
"Burnout","~","Job_Satisfaction","a",-0.0542016199128311,0.059068584112895,-0.91760486097378,0.358825772083048,-0.16997391739188,0.061570677566218,-0.053897206444531,-0.053897206444531,-0.053897206444531
"Burnout","~","age","",-0.00297374249514355,0.006778301007542,-0.438715024876404,0.660868038840058,-0.0162589683462974,0.0103114833560103,-0.00295704101522037,-0.0243978116326202,-0.00295704101522037
"Burnout","~","gender_num","",0.164466218120343,0.113945731258104,1.44337322955786,0.14891536111501,-0.058863311337622,0.387795747578307,0.163542523737099,0.0807921551947315,0.163542523737099
"Burnout","~","education_dh","",0.0709050949827525,0.158211918014881,0.448165320744569,0.654033888759617,-0.239184566251418,0.380994756216923,0.0705068695068616,0.0352482542762611,0.0705068695068616
"Burnout","~","education_ts","",0.0464888442100433,0.178461410987075,0.260498020008428,0.794479642412996,-0.303289093954824,0.396266782374911,0.0462277481334685,0.0198228956082059,0.0462277481334685
