"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"Job_Satisfaction","=~","js_q1",0.739224049026778,0.0469177961845066,15.7557282980586,0,0.647266858271154,0.831181239782402,0.739224049026778,0.748567587930017
"Job_Satisfaction","=~","js_q2",0.709666869596672,0.0427563073656359,16.5979457376397,0,0.625866047048101,0.793467692145243,0.709666869596672,0.776482491255411
"Job_Satisfaction","=~","js_q3",0.762264346393303,0.0423513915323207,17.9985667250526,0,0.6792571442948,0.845271548491806,0.762264346393303,0.820527309218977
"Job_Satisfaction","=~","js_q4",0.763581499621788,0.0429986795015432,17.7582546365031,0,0.679305636415983,0.847857362827594,0.763581499621788,0.81316658246783
"Job_Satisfaction","=~","js_q5",0.695083789491547,0.0420807560390486,16.5178541195065,0,0.612607023212796,0.777560555770299,0.695083789491547,0.773876778071751
"Burnout","=~","bo_q1",0.86769407083824,0.0450967257621364,19.2407332500126,0,0.779306112523773,0.956082029152707,0.86769407083824,0.846782646148507
"Burnout","=~","bo_q2",0.839061553779138,0.0442749693838435,18.9511492713832,0,0.752284208370191,0.925838899188085,0.839061553779138,0.838637336361021
"Burnout","=~","bo_q3",0.870103532744017,0.0453706972889205,19.1776539646988,0,0.781178600104263,0.95902846538377,0.870103532744017,0.84501833274294
"Burnout","=~","bo_q4",0.848009227447516,0.0448437717157647,18.9103011410925,0,0.760117049953681,0.93590140494135,0.848009227447516,0.837478885964195
"Burnout","=~","bo_q5",0.789930115398201,0.0435461286515507,18.1400767383732,0,0.704581271575014,0.875278959221388,0.789930115398201,0.8151790242285
